id,nom,prix,quantite,categorie,secret_info
1765188795,Wanhao Duplicator 12/230 (D12 Mono),229.0,15,Imprimante FDM,gAAAAABpNqS7Jp8_iwtu-b2MMPTbq8-iAlm6X5Bv1P-HioTfj6WMaM0KP_rsgGffN4PTccQKcBzngjWlxGjHHEmAdh1XhEC9MDFkeQMFGNXQ4QPy6mrBromuqBNMAf5j6NBP8nlDbeTm
1765188795,Wanhao Duplicator 12/230 (D12 Dual),256.8,8,Imprimante FDM,gAAAAABpNqS7R6ygN0NhbhQIqt5XTCq68jhlLhYPOAminQDlyb_iGJjZ1SzAMEIyV2neMvyZ7JzZddtN-k4JIqcDNSKu8wiCfWqCa8dnZxZMWkoGYpfmfXx5R6mB4ApzaZo8TsHjYYv5
1765188795,Wanhao Duplicator 12/300 Pro Max,399.0,5,Imprimante FDM,gAAAAABpNqS7vK9QvY6bJuYuXidbvgjRoxTpwaMPAGFPfjfkJe4wjTh96vY0oJtdGPnYl3J7eqVpqopKye2p5Q-q8pZyCWeFeHmBXUEnp2l2HkRHomYwKvw=
1765188795,Wanhao Duplicator 12/500 (Géante),549.9,2,Imprimante FDM,gAAAAABpNqS7VvhRNnRTQ9crP35h7MOizHfI6zUSrO7OFmRSCiwLQTMgHDXE3yq0AcZsLNhqDKsG0hJMa-tr05xRMR26E_DbXUanApNLD8XxYbatwU_kqRgFh_3vEGPuAxKSItaW7rL7
1765188795,Wanhao GR2 (Gadoso Revolution 2),299.0,4,Imprimante FDM,gAAAAABpNqS7fzSIbq_bz5I7MNWq3ifqZgBtZfgIhe_it5PepkLZGIIGADx8qR2Giy71xrHr7yD9vR_b7rLy7EZPYDjwGB7078vv3uhSMuoU3iTEQjVE_JFZQIu5gMPuvwsO-1gZ5ogb
1765188795,Wanhao Duplicator D8 (Résine UV),450.0,3,Imprimante Résine,gAAAAABpNqS7X_HehQJDCYVdWV7x1Kf1lbre7OL1yn_UuVgcoeG9nVMQgoR2oNW5yqRdYVhDY5yA_bxMhB_JmJOTUC8qqD5NVumVxGrn8sIoTt51MPsYfNg=
1765188795,Filament PLA Wanhao 1.75mm Blanc,24.9,120,Filament,gAAAAABpNqS7MMvbc1ECiurGqdFFZJS78xMWKNlPh1jVxve0sPlrP7hNAjqjedUK0ZPcwhUak5IVTttHdf2cF6TEz9kUlwKFTNwcaaMpmH9pXvdw_fdFOp0=
1765188795,Filament PLA Wanhao 1.75mm Noir,24.9,95,Filament,gAAAAABpNqS7KEP1eCuYHw7Oi3mh2ookLkZs4y-I5u3JN1GxwxsaItuoAbrMKakRJlHliojsACZTK1WFJNAQ30vtzPJyhl1kGb5ITjysxvgkiz87Md4qFak=
1765188795,Résine Wanhao Standard Grise 1L,35.0,30,Résine,gAAAAABpNqS7Q5FpZ_3NVQPNq7dR2bKY0ZJJmKezHXAVY-vh6rrztvNjIRMAplMY9kmgmmcgpfCTxts9LeX7No2n8sGGF-uGs8RDPYIi3869aHKL5jADOuw=
1765188795,Kit Upgrade Dual Extruder D12,39.9,12,Accessoire,gAAAAABpNqS7LWJFsaAK0065LfQ8phWNLGusafo6UdaaBJmCsoEf7RjyRUEemgRwVey3A07ISoe2Ojmboxvhvb68EeyoE_eiP3GQzo--ZwI-4CyQG5GVh1U=
1765438041,Wanhao Duplicator 12/230 (Mono),229.0,12,Imprimante FDM,gAAAAABpOnJZLIeoW5jyrNVXtjJFFFtGvj9t1UGIyGW7tjZQY3BVPhtdwo294-KanGyDW5_RPgF0qBsop_fxy6rUvOv9P1wZktxQTkHt_Sv3WmUvkb1b4XG-kbBvwnKXCAdkFFc6flJr
1765438041,Wanhao Duplicator 12/230 (Dual Extruder),269.0,8,Imprimante FDM,gAAAAABpOnJZE1gAcnQIje5RtmhYlgH8xZqEZAll4Odq1kYbAqTEcndzEpWQKPoG7S1YAjxre7ZZuQt2awEooscrt3b0_Pb9RjX6i7yho6Rwn8HiD94jBcw=
1765438041,Wanhao D12/300 Pro Max,399.0,5,Imprimante FDM,gAAAAABpOnJZ8sNPD0DJIolFEAD1YXV-D0oupOqrx2xK7GOaPemxjTRNkEjkZzMNjZMgtt0Y2YSqt_U6hV9DlVKxZM6tCK8-dlI56eYg3Wufn6hRV29N5o4=
1765438041,Wanhao D12/500 (Grand Format),549.0,2,Imprimante FDM,gAAAAABpOnJZdyLOzWKsJ_rPBKngMCHzy1MEZABCLZjRaqYgyOen9PpZEQCmqarIZdUWJuthlpsp8_5Ivq7VMtqJxKg4w-EYRbgmF3EddOtjlmvZCXoBflwtSX8i__QR0k4SqJkglv1I
1765438041,Wanhao GR2 (Gadoso Revolution),299.0,15,Imprimante FDM,gAAAAABpOnJZRXqnsWra9gTy1dkQcuQuBNIpXrH1eefi3kvdmdsWoM2SD207yjtOyKX_IUbCD9xVeuATGUcjE3AUlIyRuf07s6KKNny2fvHLPetGrWKxg9I=
1765438041,Wanhao D8 (Résine UV),450.0,3,Imprimante Résine,gAAAAABpOnJZpOJURPgnmI-rTso7xJ-kYWLSVBrgawm-GJLy6yWo-q_tDwPVX6rQdBDBaSw4-8BzNVZYjucM59zlCcQ9Mneb6gBn08Vld9Y1x-MVwNf_218=
1765438041,Filament PLA+ Wanhao Blanc 1kg,22.9,50,Consommable,gAAAAABpOnJZwwncyiFqpMSnDMCJQ3xXw9H8DCRwc9YBZdhiDxV5Hxqrr6VVCFDWdA6-RimFdIO3WMKodgAz0rg3QFDDQlGJHsGPItMgWqbzuiXLVwusn_U=
1765438041,Filament PLA Soie Or (Silk Gold),26.9,30,Consommable,gAAAAABpOnJZbKt-7xOvS37DFioQb4zKF6GyYxZ3mNm62UkbCVxgXHSb0H7LKBq_Rg4rSR24wHQ5NH3ydw_QiVPLXN4gr-LulTYTyTiuWLToOhxJ4NkNsRM=
1765438041,Filament PETG Noir Wanhao,24.9,40,Consommable,gAAAAABpOnJZWk9u2PVnUGd6g2yv0eotvwnlAn8ksEFse8CgZHZVzKiQWhd4vdaA41HPkk03V5eX9AAJIBNf6nlckRqUZgYm7m4O1R6U_nMQoB7CUf9_VRk=
1765438041,Plateau Magnétique PEI 235x235,29.9,20,Accessoire,gAAAAABpOnJZlFUUmEg7dBOip-FLCC9P9Em8KwJxv71SKZamUBGtyLI-pTviSc85mbvJEN8mDrHouAFIgEmHNXkImwHNrsNpVocTASoA7zWh29i_fwC0oXY=
