id,nom,prix,quantite,categorie,secret_info
e2bffee3-f2c1-4f17-9df0-15b54bfd0e04,Wanhao Duplicator 12/230 (Mono),229.0,12,Imprimante FDM,gAAAAABpO8sSaLqRuPyveFNsi6EPedIbC-Jsdk95TUrJtTKr-6VrVJlCXwnJtUURP5sm9fZ1z4-8vG0vxCWWrC6t5uiF__kAEQ==
235679db-77e4-4b6d-a76b-890b13887e59,Wanhao Duplicator 12/230 (Dual),269.0,6,Imprimante FDM,gAAAAABpO8sSUDUhrukMcq2o3MVgPjO0EUdXaKuy6u2xe0L-JLfpZSQiZdAhQB7o2wD4lcq60Pya9Hnc1NyHNoa-G7P_UwU57w==
6c7e1c8d-585a-40a8-b8a9-b219599de0ed,Wanhao D12/300 Pro Max,399.0,5,Imprimante FDM,gAAAAABpO8sSuQ7mAbqd6EQpwv5bHDVqSsu-YZ8KyhCVmwtxIyYKwxglFMyviL1EzdZposT7UA_5glxJJ6LjX2wpgzLT6Gp9Ng==
2892a63f-ce56-45b0-a125-c64279317ee3,Wanhao D12/500 (Grand Format),549.0,2,Imprimante FDM,gAAAAABpO8sSzKe_8aksN2LCgBEmwFXqQwitkZOvtR6QTuT0baJm0v7t11S0Amf856ZHZlCCY5_pjEreQWyVeazS3HtR7fK2JQ==
566a7f1c-700b-4a5a-a0fe-0cf67867ff69,Wanhao GR2 (Gadoso),299.0,15,Imprimante FDM,gAAAAABpO8sSJ1kNTo1o3CGzq83Ru3szkd7ecP5xmfPNG5Mq5IURPC44u8Z7ay1NL9wKoRRFfVuDKmP6TlTUjiuO2JO3e5bQbA==
6fa68ee4-717b-4b89-a425-b24e23c1c24e,Wanhao D8 (Résine UV),450.0,3,Imprimante Résine,gAAAAABpO8sSqo-kPRvkDE4WBaJWfIih1LuXyWX46m0ot5mqXjOrCDFy4McCGOrbJTyE8RlQqR-DLvO6zBXruTx4KKZdEibOQuWLa05LMOm7z-v6-XOnfWs=
7246a1f9-8ef7-46a8-8d17-ed571e925d21,Filament PLA+ Blanc 1kg,22.9,50,Consommable,gAAAAABpO8sSHeWVRwysFBL4V__o6vDcNtVTLC235k-T0y_aWqcz2E7-SVBfHFnYhpEkI1SiIppKW9jPvU8qcrMxSsLwX5cZOw==
12e2766c-5a1f-488b-bb03-fa2a941942d0,Filament PLA Soie Or,26.9,30,Consommable,gAAAAABpO8sS9ehK7i3FF2-M_UVxuYo2d4drNUv-fBpjvswW8HwYiokWfPRF82KwfnCGLovPybrWNdmultxR2YZR1qoR4QNBSQ==
3686a937-85ee-4c2f-a08d-4e7a884c63a5,Filament PETG Noir,24.9,38,Consommable,gAAAAABpO8sShK-4MAXoBJG9ouAUU8LKyQube4AGwownuyc_CQ64bxFiWk-xLCPSZnsosKKYebuPLGFNkUICORJlvkf7G9jSxA==
ab5747b1-4a51-4da0-b2aa-783cf2de1cea,Plateau Magnétique PEI 235,29.9,18,Accessoire,gAAAAABpO8sSTrXAHI5_3d6hU4XnjlFfzGfQSL3uQVD_qCszoneRlyxQYn6jrbdPFpbjtCZ1oOAObTy-vnZ-1D4yAIJVvS9BnA==
344f8c21-1b73-4a71-918e-413b742b98ec,Kit Buse Laiton 0.4mm (x5),9.9,97,Pièce Détachée,gAAAAABpO8sSyae-1k7UvzConc8CglIuWPmmmRxvYFIIGBue8DXfd4VxBiBZSeaUjQmm6UYMQ4gPi7xzGwkckpdjnhHgFVMonQ==
